Time(s),phi,phi_dot
0,0.3,0
0.1,0.29956622,-0.008670087
0.2,0.298267831,-0.017284885
0.3,0.296112564,-0.025800128
0.4,0.293112676,-0.034172084
0.5,0.289285352,-0.042358806
0.6,0.284651094,-0.050314857
0.7,0.27923461,-0.057995225
0.8,0.273065081,-0.065356309
0.9,0.266176162,-0.072355921
1,0.25860598,-0.078953285
1.1,0.250397133,-0.085109037
1.2,0.241596695,-0.090785224
1.3,0.23225461,-0.095946996
1.4,0.222421363,-0.100562484
1.5,0.212156244,-0.10459395
1.6,0.201520802,-0.10800797
1.7,0.190578225,-0.110776243
1.8,0.179393334,-0.11287559
1.9,0.168032589,-0.114287952
2,0.156564082,-0.115000393
2.1,0.145057544,-0.115005096
2.2,0.13358434,-0.114299368
2.3,0.122217471,-0.112885636
2.4,0.111023337,-0.110770471
2.5,0.100068061,-0.107963363
2.6,0.089427244,-0.104479028
2.7,0.079171977,-0.100337179
2.8,0.069368762,-0.095562521
2.9,0.060079505,-0.090184754
3,0.051361526,-0.08423857
3.1,0.043267548,-0.077763652
3.2,0.035845706,-0.070804678
3.3,0.029139543,-0.063411319
3.4,0.023188008,-0.055638237
3.5,0.018025933,-0.047540961
3.6,0.013685799,-0.039168769
3.7,0.010194346,-0.03058006
3.8,0.007571527,-0.021834114
3.9,0.005830531,-0.012990479
4,0.004977781,-0.004108966
4.1,0.005012937,0.004750349
4.2,0.005928913,0.013527153
4.3,0.00771429,0.022163111
4.4,0.010353052,0.030598479
4.5,0.013822764,0.038774259
4.6,0.018095346,0.046634565
4.7,0.023137075,0.054126622
4.8,0.028908584,0.06120077
4.9,0.035364862,0.067810458
5,0.042456099,0.073912917
5.1,0.050131434,0.079470062
5.2,0.058332693,0.084442334
5.3,0.066998874,0.088795085
5.4,0.076067008,0.092499482
5.5,0.085472162,0.095532506
5.6,0.095147434,0.097876952
5.7,0.105023959,0.09952143
5.8,0.115030905,0.100460364
5.9,0.125095658,0.100693966
6,0.135152004,0.100225646
6.1,0.145129049,0.099060876
6.2,0.154953816,0.097209765
6.3,0.164556542,0.094686942
6.4,0.173870681,0.091511549
6.5,0.182832904,0.087707247
6.6,0.191383096,0.083302213
6.7,0.19946436,0.078329141
6.8,0.207023016,0.072825243
6.9,0.214008598,0.066832244
7,0.220378034,0.060390509
7.1,0.226090335,0.053535304
7.2,0.231100485,0.046308923
7.3,0.235369231,0.038754772
7.4,0.238863182,0.030917277
7.5,0.241554813,0.022841877
7.6,0.243422463,0.014575031
7.7,0.244450338,0.006164215
7.8,0.244628507,-0.002342079
7.9,0.243952902,-0.010894342
8,0.242425324,-0.019442045
8.1,0.240053221,-0.027934293
8.2,0.236843279,-0.03633083
8.3,0.232804059,-0.044582698
8.4,0.22795023,-0.052637632
8.5,0.222301787,-0.060445322
8.6,0.215884054,-0.067957412
8.7,0.208727681,-0.075127505
8.8,0.200868647,-0.081911156
8.9,0.192348257,-0.088265879
9,0.183213145,-0.09415114
9.1,0.173515271,-0.099528364
9.2,0.163311911,-0.104360934
9.3,0.15265552,-0.108617809
9.4,0.141602302,-0.112266144
9.5,0.130217809,-0.115273523
9.6,0.11856849,-0.117613452
9.7,0.1067217,-0.119265358
9.8,0.094745694,-0.120214588
9.9,0.082709627,-0.120452408
10,0.07068356,-0.119976009
10.1,0.058738452,-0.1187885
10.2,0.046946166,-0.11689891
10.3,0.035378232,-0.114321387
10.4,0.024098809,-0.111069375
10.5,0.01317705,-0.107163761
10.6,0.002679542,-0.102630875
10.7,-0.007331665,-0.097501433
10.8,-0.016799055,-0.091810539
10.9,-0.025669652,-0.085597688
11,-0.033895011,-0.078906763
11.1,-0.041431226,-0.071786036
11.2,-0.048239495,-0.064285058
11.3,-0.054283501,-0.056453378
11.4,-0.05953002,-0.048346157
11.5,-0.063952411,-0.040019147
11.6,-0.067530658,-0.031528597
11.7,-0.070251367,-0.022931249
11.8,-0.07210777,-0.01428434
11.9,-0.073099722,-0.005645604
12,-0.073233624,0.002927002
12.1,-0.072519346,0.011380124
12.2,-0.070970226,0.01965567
12.3,-0.068605436,0.027695548
12.4,-0.065449748,0.035444739
12.5,-0.061533536,0.042851304
12.6,-0.05689278,0.049866379
12.7,-0.051569059,0.056444177
12.8,-0.045609558,0.062541988
12.9,-0.039067062,0.068120177
13,-0.031997872,0.073142796
13.1,-0.02445456,0.077577351
13.2,-0.016499331,0.08139076
13.3,-0.008196798,0.084555089
13.4,0.000387237,0.087048108
13.5,0.009185779,0.088853297
13.6,0.018130644,0.089959837
13.7,0.027152455,0.090362621
13.8,0.036180647,0.090062244
13.9,0.045143608,0.089064947
14,0.053975105,0.087378676
14.1,0.062605608,0.08501475
14.2,0.070965024,0.081990042
14.3,0.07898697,0.078325836
14.4,0.086608779,0.074047826
14.5,0.093771493,0.069186115
14.6,0.100419869,0.063775219
14.7,0.106502377,0.057854061
14.8,0.111971275,0.05146588
14.9,0.11678552,0.04465196
15,0.120902592,0.037456715
15.1,0.124282723,0.029928706
15.2,0.126892476,0.02211757
15.3,0.12870474,0.014074016
15.4,0.129698736,0.00584983
15.5,0.129860013,-0.002502128
15.6,0.129180447,-0.010927922
15.7,0.127658247,-0.019372544
15.8,0.125297863,-0.027780148
15.9,0.122105596,-0.036101001
16,0.118090409,-0.044280038
16.1,0.113267501,-0.052260417
16.2,0.10765769,-0.059987895
16.3,0.101287414,-0.067410833
16.4,0.094188726,-0.074480194
16.5,0.086399302,-0.081149541
16.6,0.077962435,-0.087375042
16.7,0.068927036,-0.093115466
16.8,0.059347478,-0.098332266
16.9,0.049274336,-0.102992925
17,0.038764115,-0.10706308
17.1,0.027879622,-0.11051069
17.2,0.016684803,-0.113309675
17.3,0.005244748,-0.11543992
17.4,-0.006374311,-0.116887272
17.5,-0.018105001,-0.117643545
17.6,-0.029878807,-0.117706514
17.7,-0.041626071,-0.117079917
17.8,-0.053275993,-0.115773458
17.9,-0.064763661,-0.113798866
18,-0.076024236,-0.111169692
18.1,-0.086989127,-0.10790596
18.2,-0.097593918,-0.104031758
18.3,-0.107778364,-0.099575234
18.4,-0.117486392,-0.094568597
18.5,-0.126666102,-0.089048117
18.6,-0.13526977,-0.083054127
18.7,-0.14325384,-0.07663102
18.8,-0.150579142,-0.069826846
18.9,-0.157213389,-0.062683821
19,-0.163122322,-0.055248267
19.1,-0.168275193,-0.047569912
19.2,-0.172647366,-0.039698578
19.3,-0.17622032,-0.031684177
19.4,-0.178981643,-0.023576715
19.5,-0.180925041,-0.015426291
19.6,-0.182050328,-0.007283096
19.7,-0.182363434,0.000802585
19.8,-0.1818764,0.008780377
19.9,-0.180605738,0.016602136
20,-0.178565852,0.024225184
20.1,-0.175777663,0.031599146
20.2,-0.172267108,0.038675598
20.3,-0.168064696,0.04540904
20.4,-0.163205509,0.051756892
20.5,-0.157729201,0.057679499
20.6,-0.151679997,0.063140127
20.7,-0.145106698,0.068104966
20.8,-0.138062675,0.072543129
20.9,-0.130605871,0.076426651
21,-0.122790861,0.079731366
21.1,-0.114673832,0.0824331
21.2,-0.106319027,0.084509923
21.3,-0.09779081,0.08594516
21.4,-0.089153666,0.086727398
21.5,-0.080472199,0.086850479
21.6,-0.071811135,0.086313501
21.7,-0.06323532,0.085120824
21.8,-0.05480972,0.083282061
21.9,-0.046599356,0.080812038
22,-0.0386645,0.077726411
22.1,-0.031066796,0.074044547
22.2,-0.023867379,0.069791569
22.3,-0.017123085,0.064996361
22.4,-0.010886458,0.059691568
22.5,-0.005205742,0.0539136
22.6,-0.000124889,0.047702627
22.7,0.004316447,0.041102582
22.8,0.008083205,0.034159489
22.9,0.011143112,0.026919099
23,0.013466382,0.019432428
23.1,0.01502924,0.011751293
23.2,0.015814051,0.003928019
23.3,0.015809321,-0.003984558
23.4,0.01500969,-0.011933092
23.5,0.013415943,-0.019863727
23.6,0.01103481,-0.027722248
23.7,0.007875035,-0.035456233
23.8,0.003950624,-0.043012123
23.9,-0.000718417,-0.05033777
24,-0.00610697,-0.057383536
24.1,-0.012184805,-0.064102297
24.2,-0.018916576,-0.07044944
24.3,-0.026262257,-0.076383457
24.4,-0.034179675,-0.081867706
24.5,-0.042620507,-0.086862937
24.6,-0.051533469,-0.091333805
24.7,-0.060865083,-0.095250148
24.8,-0.070559673,-0.098586984
24.9,-0.080559369,-0.101324513
25,-0.090804102,-0.103448116
25.1,-0.101231609,-0.104948357
25.2,-0.111777429,-0.10582098
25.3,-0.122379414,-0.106066103
25.4,-0.13297827,-0.105685245
25.5,-0.14350764,-0.104683621
25.6,-0.153903641,-0.103070706
25.7,-0.164105106,-0.100860229
25.8,-0.174053583,-0.098070169
25.9,-0.183693342,-0.094722756
26,-0.192971367,-0.090844472
26.1,-0.201837359,-0.086466049
26.2,-0.210243738,-0.081622471
26.3,-0.218146127,-0.076352426
26.4,-0.225509239,-0.070687576
26.5,-0.232292788,-0.064662486
26.6,-0.238458028,-0.058315155
26.7,-0.243971315,-0.051684264
26.8,-0.248804109,-0.044809173
26.9,-0.25293297,-0.037729923
27,-0.256339563,-0.030487234
27.1,-0.259010654,-0.023122505
27.2,-0.260938111,-0.015677819
27.3,-0.262118905,-0.008195934
27.4,-0.262555109,-0.000720292
27.5,-0.262253624,0.006706157
27.6,-0.261220524,0.014052123
27.7,-0.25946284,0.021276712
27.8,-0.256992263,0.028336758
27.9,-0.253824883,0.035190861
28,-0.249981185,0.041799397
28.1,-0.245486049,0.048124511
28.2,-0.240368754,0.054130117
28.3,-0.234662973,0.059781904
28.4,-0.228406775,0.065047329
28.5,-0.221642628,0.06989562
28.6,-0.214417393,0.074297778
28.7,-0.20678229,0.078226583
28.8,-0.198781555,0.081658228
28.9,-0.190462398,0.084567433
29,-0.181880759,0.086930326
29.1,-0.173093148,0.088727539
29.2,-0.164156645,0.089944208
29.3,-0.155128901,0.090569975
29.4,-0.146068134,0.090598986
29.5,-0.137033134,0.090029889
29.6,-0.128083258,0.08886584
29.7,-0.119278436,0.087114497
29.8,-0.110676048,0.08478726
29.9,-0.102327375,0.081896702
30,-0.094293393,0.078460302
30.1,-0.086631903,0.074499375
30.2,-0.079396392,0.070038877
30.3,-0.072636034,0.065107407
30.4,-0.066395693,0.059737206
30.5,-0.060715917,0.053964158
30.6,-0.055632942,0.047827788
30.7,-0.05117869,0.041371263
30.8,-0.047380772,0.034641395
30.9,-0.044262267,0.027686584
31,-0.041843193,0.020548337
31.1,-0.040142734,0.013277134
31.2,-0.039174561,0.00592446
31.3,-0.038946403,-0.001458874
31.4,-0.039460044,-0.008822724
31.5,-0.040711324,-0.016117617
31.6,-0.042690137,-0.023294754
31.7,-0.045380433,-0.030306002
31.8,-0.04876022,-0.037103901
31.9,-0.052801964,-0.04364195
32,-0.057480603,-0.049878829
32.1,-0.062765219,-0.055771135
32.2,-0.068619253,-0.061277344
32.3,-0.075002847,-0.066360016
32.4,-0.081872848,-0.070985796
32.5,-0.0891828,-0.07512541
32.6,-0.096882952,-0.078753673
32.7,-0.104920254,-0.081849478
32.8,-0.113238462,-0.084395824
32.9,-0.121784712,-0.086379971
33,-0.130501905,-0.087790181
33.1,-0.139329672,-0.088618048
33.2,-0.148208644,-0.088859729
33.3,-0.157080451,-0.088515937
33.4,-0.165887722,-0.08759195
33.5,-0.174574086,-0.086097602
33.6,-0.183084172,-0.08404729
33.7,-0.191363609,-0.081459969
33.8,-0.19935903,-0.078359152
33.9,-0.207023731,-0.074767597
34,-0.214310107,-0.070707629
34.1,-0.221168498,-0.066206125
34.2,-0.227553459,-0.061291762
34.3,-0.233423757,-0.055995019
34.4,-0.238742374,-0.050348176
34.5,-0.243476505,-0.044385315
34.6,-0.247597562,-0.038142318
34.7,-0.251081165,-0.031656868
34.8,-0.253907154,-0.02496845
34.9,-0.256059578,-0.01811835
35,-0.257528445,-0.011142664
35.1,-0.258302935,-0.00407462
35.2,-0.258371163,0.003044631
35.3,-0.257726132,0.01017443
35.4,-0.256365754,0.017274657
35.5,-0.25429285,0.02430573
35.6,-0.251515148,0.031228601
35.7,-0.248045284,0.038004763
35.8,-0.243900804,0.044596241
35.9,-0.239104161,0.050965602
36,-0.233682718,0.057075946
36.1,-0.227668745,0.062890915
36.2,-0.221098846,0.068374998
36.3,-0.21400134,0.073498422
36.4,-0.206411514,0.078226418
36.5,-0.198371374,0.08252461
36.6,-0.189925254,0.086362234
36.7,-0.181119821,0.089712137
36.8,-0.172004075,0.09255078
36.9,-0.162629349,0.094858236
37,-0.153049304,0.096618191
37.1,-0.143319937,0.097817943
37.2,-0.133499575,0.098448401
37.3,-0.12364427,0.098504339
37.4,-0.113807069,0.09798262
37.5,-0.104050816,0.096882171
37.6,-0.09443633,0.095206475
37.7,-0.085021966,0.092963629
37.8,-0.075863619,0.090166341
37.9,-0.067014725,0.086831935
38,-0.058526256,0.082982345
38.1,-0.050446723,0.078644121
38.2,-0.042822178,0.073848425
38.3,-0.03569621,0.06863103
38.4,-0.029109004,0.063028774
38.5,-0.023097598,0.05707523
38.6,-0.01769753,0.050812011
38.7,-0.012939121,0.044282343
38.8,-0.008847345,0.037530734
38.9,-0.005441833,0.030602965
39,-0.002736867,0.0235461
39.1,-0.000741389,0.016408477
39.2,0.000540776,0.009239149
39.3,0.001108289,0.002085198
39.4,0.00096394,-0.005002989
39.5,0.000115746,-0.011975947
39.6,-0.001423182,-0.018786031
39.7,-0.003634641,-0.02538741
39.8,-0.006495334,-0.031736075
39.9,-0.009976868,-0.03778983
40,-0.014045834,-0.043508354
40.1,-0.01866777,-0.048854951
40.2,-0.023803843,-0.053792219
40.3,-0.029410813,-0.058284979
40.4,-0.035442964,-0.062302276
40.5,-0.041852102,-0.065817379
40.6,-0.048587555,-0.068807781
40.7,-0.055596174,-0.071255197
40.8,-0.062822334,-0.073145568
40.9,-0.070208768,-0.074469115
41,-0.07770201,-0.075219275
41.1,-0.085241954,-0.075390725
41.2,-0.092768247,-0.07498215
41.3,-0.100222188,-0.073996614
41.4,-0.107546727,-0.072441564
41.5,-0.114686469,-0.070328828
41.6,-0.12158767,-0.067674617
41.7,-0.128198238,-0.06449952
41.8,-0.134467733,-0.060828512
41.9,-0.140348367,-0.056690157
42,-0.145799675,-0.052109611
42.1,-0.150775215,-0.047116519
42.2,-0.155231229,-0.041743464
42.3,-0.159128822,-0.036024785
42.4,-0.16243396,-0.029996575
42.5,-0.165117467,-0.023696678
42.6,-0.167155032,-0.017164691
42.7,-0.168527201,-0.010441967
42.8,-0.169219382,-0.003571609
42.9,-0.169221845,0.003401525
43,-0.168529689,0.01043199
43.1,-0.16713997,0.017483377
43.2,-0.165049799,0.024510667
43.3,-0.162260896,0.03146717
43.4,-0.158780042,0.038307642
43.5,-0.154619082,0.044988293
43.6,-0.149794921,0.051466783
43.7,-0.14432953,0.057702219
43.8,-0.13824994,0.063655162
43.9,-0.131588246,0.069287622
44,-0.124381605,0.074563058
44.1,-0.116672238,0.079446382
44.2,-0.108499854,0.083906943
44.3,-0.099903328,0.087914336
44.4,-0.090931368,0.091436873
44.5,-0.081634231,0.094447454
44.6,-0.072063688,0.096923582
44.7,-0.062273027,0.098847365
44.8,-0.05231705,0.100205516
44.9,-0.042252076,0.100989352
45,-0.032135939,0.101194794
45.1,-0.022027988,0.100822369
45.2,-0.011986149,0.099876657
45.3,-0.002061787,0.098363243
45.4,0.007684294,0.096291349
45.5,0.01719344,0.093674286
45.6,0.026410367,0.090529346
45.7,0.035283155,0.086877804
45.8,0.043763257,0.082744916
45.9,0.051805488,0.078159922
46,0.059368035,0.073156041
46.1,0.066412451,0.067770477
46.2,0.072903658,0.062044414
46.3,0.078810732,0.056018642
46.4,0.084105301,0.049728638
46.5,0.088760121,0.043218274
46.6,0.092753201,0.036532037
46.7,0.096067917,0.029714637
46.8,0.098693019,0.022811009
